Low eye sight,"Breastmilk, tomatoes, cabbage, lettuce, pumpkins,Mangoes, papaya, carrots,Liver, kidney, egg yolk, milk, butter, cheese cream",Vitamin A
"Fast heart rate, Shortness of breath, and Leg swelling"," beef, liver, dried milk, nuts, oats, oranges, pork, eggs, seeds, legumes, peas and yeast.",Vitamin B-1
"Sore throat, Redness and Swelling of the lining of the mouth and throat, Cracks or Sores on the outsides of the lips (cheliosis) and at the corners of the mouth (angular stomatitis), Inflammation and Redness of the tongue (magenta tongue),","Eggs, organ meats (such as kidneys and liver), lean meats, and low-fat milk,Green vegetables (such as asparagus, broccoli, and spinach),Fortified cereals, bread, and grain products
",Vitamin B-2
"Thick scaly pigmented rash on skin exposed to sunlight,swollen mouth and bright red tongue.,vomiting and diarrhea,headache.
Apathy,fatigue,depression,disorientation",Eggs,Vitamin B-3
"Skin rashes,Cracked and Sore Lips, Sore and glossy tongue,Mood Changes,Weakened Immune Function,Tiredness and Low Energy,",Dairy products,Vitamin B-6
Weakness and Fatigue,Asparagus,Vitamin B-9
"Pale skin,Weakness,Fatigue,Sensation of pins",Artichokes,Vitamin B-12
"Rough, Bumpy Skin,Corkscrew-Shaped Body Hair,Bright Red Hair Follicles",Avocados,Vitamin C
"Fatigue and Tiredness , Bone and Back Pain",Cayenne,Vitamin D
"Disorientation and Vision problems , Muscle weakness",Currants,Vitamin E
"Easy bruising , Oozing from nose or gums,Excessive bleeding from wounds, punctures, and injection or surgical sites",Fortified cereals,Vitamin K
"Nausea,Dizziness,Constipation",Kelp,Carbohydrates
"Dry skin,Scaly or flaky skin,Lackluster skin","Lima beans, navy beans, and peas",Fats
"Constipation , Weight gain, Blood sugar",Molasses,Roughage(Fiber)
"Skin, hair and Nail problems,Loss of muscle mass",Nuts,Protein
"Mental confusion, Irritability, Depression, and Anxiety",Parsley,Calcium
"Swelling in the Neck,Fatigue and Weakness",Pumpkins,Iodine
"Acne, Eczema, Xerosis (dry, scaling skin), Seborrheic dermatitis",Rosehips,Zinc
Fractured hips in the elderly or brittle and weak bones,Sage,Fluorine
"Fatigue, Weakness","Sweet potatoesCruciferous vegetables, such as broccoli, Brussels sprouts, spinach, dandelion greens, and watercress
Whole-grain breads, enriched breads, and wheat bran
Yeast extract
",Iron
